"country","retailer","retailer_slug","product_family","brand","device_type","model","capacity_gb","offer_type","price_value","price_text","price_unit","term_months","in_stock","data_quality_tier","extracted_at","source_url","source_title"
"ES","Movistar","movistar","Samsung","Samsung","mobile","Samsung Galaxy S26",256,"financing_max_term",14.0,"14 Ã¢â€šÂ¬/mes","EUR/month",24,"","movistar_adapter_live","2026-02-27T12:33:02.519577+00:00","https://www.movistar.es/moviles/samsung-galaxy-s26-256gb-violeta/","Samsung Galaxy S26 256GB violeta Mejor precio✅ Movistar"
"ES","Movistar","movistar","Samsung","Samsung","mobile","Samsung Galaxy S26",256,"cash",999.0,"999 Ã¢â€šÂ¬","EUR","","","movistar_adapter_live","2026-02-27T12:33:02.519577+00:00","https://www.movistar.es/moviles/samsung-galaxy-s26-256gb-violeta/","Samsung Galaxy S26 256GB violeta Mejor precio✅ Movistar"
"ES","Movistar","movistar","Samsung","Samsung","mobile","Samsung Galaxy S26+ 5G",256,"financing_max_term",18.0,"18 Ã¢â€šÂ¬/mes","EUR/month","","","movistar_adapter_live","2026-02-27T12:33:18.260906+00:00","https://www.movistar.es/moviles/samsung-galaxy-s26-plus-256gb-violeta/","Samsung Galaxy S26+ 256GB violeta | Mejor precio✅ Movistar"
"ES","Movistar","movistar","Samsung","Samsung","mobile","Samsung Galaxy S26+ 5G",256,"cash",1249.0,"1.249 Ã¢â€šÂ¬","EUR","","","movistar_adapter_live","2026-02-27T12:33:18.260906+00:00","https://www.movistar.es/moviles/samsung-galaxy-s26-plus-256gb-violeta/","Samsung Galaxy S26+ 256GB violeta | Mejor precio✅ Movistar"
