"country","retailer","retailer_slug","product_family","brand","device_type","model","capacity_gb","offer_type","price_value","price_text","price_unit","term_months","in_stock","data_quality_tier","extracted_at","source_url","source_title","source_snapshot","source_snapshots"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone 17 Pro",512,"financing_max_term",523.0,"523.00 EUR","EUR/month",3,True,"santander_api_live","2026-03-19T08:14:22.367566+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8K4QL_A","iPhone 17 Pro","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone 17 Pro",512,"cash",1569.0,"1569.00 EUR","EUR","",True,"santander_api_live","2026-03-19T08:14:22.367566+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8K4QL_A","iPhone 17 Pro","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone 17 Pro",1024,"renting_no_insurance",48.99,"48.99 EUR","EUR/month",36,True,"santander_api_live","2026-03-19T08:14:23.449800+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8P4QL_A","iPhone 17 Pro","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone 17 Pro",1024,"renting_with_insurance",53.99,"53.99 EUR","EUR/month",36,True,"santander_api_live","2026-03-19T08:14:23.449800+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8P4QL_A","iPhone 17 Pro","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone 17 Pro",1024,"financing_max_term",68.78,"68.78 EUR","EUR/month",30,True,"santander_api_live","2026-03-19T08:14:23.449800+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8P4QL_A","iPhone 17 Pro","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone 17 Pro",1024,"financing_max_term",79.8,"79.80 EUR","EUR/month",24,True,"santander_api_live","2026-03-19T08:14:23.449800+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8P4QL_A","iPhone 17 Pro","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone 17 Pro",1024,"financing_max_term",103.47,"103.47 EUR","EUR/month",18,True,"santander_api_live","2026-03-19T08:14:23.449800+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8P4QL_A","iPhone 17 Pro","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone 17 Pro",1024,"financing_max_term",151.58,"151.58 EUR","EUR/month",12,True,"santander_api_live","2026-03-19T08:14:23.449800+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8P4QL_A","iPhone 17 Pro","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone 17 Pro",1024,"financing_max_term",303.17,"303.17 EUR","EUR/month",6,True,"santander_api_live","2026-03-19T08:14:23.449800+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8P4QL_A","iPhone 17 Pro","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone 17 Pro",1024,"financing_max_term",606.33,"606.33 EUR","EUR/month",3,True,"santander_api_live","2026-03-19T08:14:23.449800+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8P4QL_A","iPhone 17 Pro","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone 17 Pro",1024,"cash",1819.0,"1819.00 EUR","EUR","",True,"santander_api_live","2026-03-19T08:14:23.449800+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8P4QL_A","iPhone 17 Pro","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",256,"renting_no_insurance",27.0,"27.00 EUR","EUR/month",36,True,"santander_api_live","2026-03-19T08:14:25.000355+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2L4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",256,"renting_with_insurance",28.99,"28.99 EUR","EUR/month",36,True,"santander_api_live","2026-03-19T08:14:25.000355+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2L4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",256,"financing_max_term",40.61,"40.61 EUR","EUR/month",30,True,"santander_api_live","2026-03-19T08:14:25.000355+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2L4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",256,"financing_max_term",47.12,"47.12 EUR","EUR/month",24,True,"santander_api_live","2026-03-19T08:14:25.000355+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2L4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",256,"financing_max_term",61.09,"61.09 EUR","EUR/month",18,True,"santander_api_live","2026-03-19T08:14:25.000355+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2L4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",256,"financing_max_term",89.5,"89.50 EUR","EUR/month",12,True,"santander_api_live","2026-03-19T08:14:25.000355+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2L4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",256,"financing_max_term",179.0,"179.00 EUR","EUR/month",6,True,"santander_api_live","2026-03-19T08:14:25.000355+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2L4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",256,"financing_max_term",358.0,"358.00 EUR","EUR/month",3,True,"santander_api_live","2026-03-19T08:14:25.000355+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2L4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",256,"cash",1074.0,"1074.00 EUR","EUR","",True,"santander_api_live","2026-03-19T08:14:25.000355+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2L4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",512,"renting_no_insurance",33.99,"33.99 EUR","EUR/month",36,True,"santander_api_live","2026-03-19T08:14:25.304834+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2Q4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",512,"renting_with_insurance",37.99,"37.99 EUR","EUR/month",36,True,"santander_api_live","2026-03-19T08:14:25.304834+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2Q4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",512,"financing_max_term",50.06,"50.06 EUR","EUR/month",30,True,"santander_api_live","2026-03-19T08:14:25.304834+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2Q4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",512,"financing_max_term",58.09,"58.09 EUR","EUR/month",24,True,"santander_api_live","2026-03-19T08:14:25.304834+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2Q4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",512,"financing_max_term",75.31,"75.31 EUR","EUR/month",18,True,"santander_api_live","2026-03-19T08:14:25.304834+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2Q4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",512,"financing_max_term",110.33,"110.33 EUR","EUR/month",12,True,"santander_api_live","2026-03-19T08:14:25.304834+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2Q4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",512,"financing_max_term",220.67,"220.67 EUR","EUR/month",6,True,"santander_api_live","2026-03-19T08:14:25.304834+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2Q4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",512,"financing_max_term",441.33,"441.33 EUR","EUR/month",3,True,"santander_api_live","2026-03-19T08:14:25.304834+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2Q4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",512,"cash",1324.0,"1324.00 EUR","EUR","",True,"santander_api_live","2026-03-19T08:14:25.304834+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2Q4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",1024,"renting_no_insurance",40.99,"40.99 EUR","EUR/month",36,True,"santander_api_live","2026-03-19T08:14:26.368934+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2W4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
"ES","Santander Boutique","santander_boutique","Apple","Apple","mobile","Apple iPhone Air",1024,"renting_with_insurance",45.99,"45.99 EUR","EUR/month",36,True,"santander_api_live","2026-03-19T08:14:26.368934+00:00","https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2W4QL_A","iPhone Air","20260319_082833_a0e2ef78.csv","20260319_082833_a0e2ef78.csv"
