brand,model,capacity_gb,offer_type,term_months,santander_price_value,competitor,competitor_price_value,difference_pct_signed_vs_santander,difference_pct_abs_vs_santander,santander_extracted_at,competitor_extracted_at,santander_source_url,competitor_source_url,santander_link_excel,competitor_link_excel,review_status,review_notes
Samsung,Samsung Galaxy S25 Ultra,256,financing_max_term,24,48.21,Movistar,22.5,-53.33,53.33,2026-02-25T15:47:33.093143+00:00,2026-02-25T16:33:42.685183+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S25-Ultra/p/SM-S938BZKDEUB?previousPriceSelected=renting,https://www.movistar.es/moviles/samsung-galaxy-s25-ultra-512gb-azultitanio/,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S25-Ultra/p/SM-S938BZKDEUB?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.movistar.es/moviles/samsung-galaxy-s25-ultra-512gb-azultitanio/"",""Abrir Competidor"")",,
Apple,Apple iPhone 17 Pro Max,512,financing_max_term,24,75.41,Movistar,35.5,-52.92,52.92,2026-02-24T08:36:18.951364+00:00,2026-02-23T15:29:45.162679+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO-MAX/p/MFYQ4QL_A?previousPriceSelected=renting,https://www.movistar.es/moviles/apple-iphone-17-pro-max-512gb-azuloscuro/,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO-MAX/p/MFYQ4QL_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.movistar.es/moviles/apple-iphone-17-pro-max-512gb-azuloscuro/"",""Abrir Competidor"")",,
Apple,Apple Mac Mini M4,256,cash,,719.0,Apple Oficial,1099.0,52.85,52.85,2026-02-24T08:36:18.435974+00:00,2026-02-24T08:40:48.150043+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/Mac-mini-M4/p/MU9D3YP_A?previousPriceSelected=renting,https://www.apple.com/es/shop/buy-mac/mac-mini,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/Mac-mini-M4/p/MU9D3YP_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.apple.com/es/shop/buy-mac/mac-mini"",""Abrir Competidor"")",,
Apple,Apple Mac Studio M4 Max,512,cash,,2329.0,Apple Oficial,1099.0,-52.81,52.81,2026-02-24T08:36:32.295954+00:00,2026-02-24T08:41:11.349358+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/Mac-Studio-M4/p/MU963YP_A?previousPriceSelected=renting,https://www.apple.com/es/shop/buy-mac/mac-studio,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/Mac-Studio-M4/p/MU963YP_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.apple.com/es/shop/buy-mac/mac-studio"",""Abrir Competidor"")",,
Apple,Apple iPad Air M3 13 WiFi,256,cash,,979.0,Media Markt,468.0,-52.2,52.2,2026-02-24T08:36:20.439309+00:00,2026-02-23T14:06:14.095613+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Air-M3-WiFi-13%22/p/MCNN4TY_A?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_apple-ipad-air-2025-256gb-blanco-estrella-13-wifi-pantalla-liquid-retina-chip-m3-9gpu-1596026.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPad/iPad-Air-M3-WiFi-13%22/p/MCNN4TY_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_apple-ipad-air-2025-256gb-blanco-estrella-13-wifi-pantalla-liquid-retina-chip-m3-9gpu-1596026.html"",""Abrir Competidor"")",,
Apple,Apple iPhone 17 Pro Max,1024,financing_max_term,24,86.38,Movistar,41.5,-51.96,51.96,2026-02-24T08:36:19.371224+00:00,2026-02-23T15:29:11.723781+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO-MAX/p/MFYV4QL_A?previousPriceSelected=renting,https://www.movistar.es/moviles/apple-iphone-17-pro-max-1024gb-azuloscuro/,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO-MAX/p/MFYV4QL_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.movistar.es/moviles/apple-iphone-17-pro-max-1024gb-azuloscuro/"",""Abrir Competidor"")",,
Samsung,Samsung Galaxy S25 Ultra,256,financing_max_term,24,48.21,Media Markt,73.01,51.44,51.44,2026-02-25T15:47:33.093143+00:00,2026-02-25T16:01:51.712710+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S25-Ultra/p/SM-S938BZKDEUB?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s25-ultra-titanium-gray-512-gb-12-gb-ram-69-wqhd-snapdragon-8-5000-mah-android-15-1592060.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Electr%C3%B3nica/M%C3%B3viles/Galaxy-S25-Ultra/p/SM-S938BZKDEUB?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s25-ultra-titanium-gray-512-gb-12-gb-ram-69-wqhd-snapdragon-8-5000-mah-android-15-1592060.html"",""Abrir Competidor"")",,
Apple,Apple iPhone 17 Pro Max,2048,financing_max_term,24,108.32,Movistar,53.0,-51.07,51.07,2026-02-24T08:36:19.884551+00:00,2026-02-23T15:30:00.200283+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO-MAX/p/MFYY4QL_A?previousPriceSelected=renting,https://www.movistar.es/moviles/apple-iphone-17-pro-max-2048gb-azuloscuro/,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO-MAX/p/MFYY4QL_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.movistar.es/moviles/apple-iphone-17-pro-max-2048gb-azuloscuro/"",""Abrir Competidor"")",,
Apple,Apple MacBook Air 13 M4,256,cash,,1099.0,Media Markt,548.0,-50.14,50.14,2026-02-24T08:35:31.249295+00:00,2026-02-23T14:04:03.445173+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/MacBook-Air-13%22-M4/p/MC6T4Y_A?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_apple-macbook-air-2025-136-retina-chip-m4-apple-cpu-de-10-nucleos-gpu-de-8-nucleos-16-gb-ram-256gb-de-ssd-medianoche-1596179.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/MacBook-Air-13%22-M4/p/MC6T4Y_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_apple-macbook-air-2025-136-retina-chip-m4-apple-cpu-de-10-nucleos-gpu-de-8-nucleos-16-gb-ram-256gb-de-ssd-medianoche-1596179.html"",""Abrir Competidor"")",,
Apple,Apple MacBook Air 15 M4,256,cash,,1399.0,Media Markt,701.0,-49.89,49.89,2026-02-24T08:35:44.907140+00:00,2026-02-23T14:24:52.085583+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/MacBook-Air-15%22-M4/p/MW1G3Y_A?previousPriceSelected=renting,https://www.mediamarkt.es/es/product/_apple-macbook-air-2025-153-retina-chip-m4-apple-cpu-de-10-nucleos-gpu-de-8-nucleos-16-gb-ram-256gb-de-ssd-plata-1596197.html,"=HYPERLINK(""https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/Mac/MacBook-Air-15%22-M4/p/MW1G3Y_A?previousPriceSelected=renting"",""Abrir Santander"")","=HYPERLINK(""https://www.mediamarkt.es/es/product/_apple-macbook-air-2025-153-retina-chip-m4-apple-cpu-de-10-nucleos-gpu-de-8-nucleos-16-gb-ram-256gb-de-ssd-plata-1596197.html"",""Abrir Competidor"")",,
