country,retailer,retailer_slug,product_family,brand,device_type,model,capacity_gb,product_code,offer_type,price_value,price_text,price_unit,term_months,in_stock,data_quality_tier,extracted_at,source_url,source_title,source_snapshot,source_snapshots
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,512,MHRY4QL_A,cash,959.0,959.00 EUR,EUR,,True,santander_api_live,2026-03-09T12:05:48.026235+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRY4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,renting_no_insurance,33.99,33.99 EUR,EUR/month,36,True,santander_api_live,2026-03-09T12:05:48.744358+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,renting_with_insurance,37.99,37.99 EUR,EUR/month,36,True,santander_api_live,2026-03-09T12:05:48.744358+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,financing_max_term,49.87,49.87 EUR,EUR/month,30,True,santander_api_live,2026-03-09T12:05:48.744358+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,financing_max_term,57.87,57.87 EUR,EUR/month,24,True,santander_api_live,2026-03-09T12:05:48.744358+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,financing_max_term,75.03,75.03 EUR,EUR/month,18,True,santander_api_live,2026-03-09T12:05:48.744358+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,financing_max_term,109.92,109.92 EUR,EUR/month,12,True,santander_api_live,2026-03-09T12:05:48.744358+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,financing_max_term,219.83,219.83 EUR,EUR/month,6,True,santander_api_live,2026-03-09T12:05:48.744358+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,financing_max_term,439.67,439.67 EUR,EUR/month,3,True,santander_api_live,2026-03-09T12:05:48.744358+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,cash,1319.0,1319.00 EUR,EUR,,True,santander_api_live,2026-03-09T12:05:48.744358+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,512,MG8K4QL_A,renting_no_insurance,41.99,41.99 EUR,EUR/month,36,True,santander_api_live,2026-03-09T12:05:49.528116+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8K4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,512,MG8K4QL_A,renting_with_insurance,47.0,47.00 EUR,EUR/month,36,True,santander_api_live,2026-03-09T12:05:49.528116+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8K4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,512,MG8K4QL_A,financing_max_term,59.33,59.33 EUR,EUR/month,30,True,santander_api_live,2026-03-09T12:05:49.528116+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8K4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,512,MG8K4QL_A,financing_max_term,68.83,68.83 EUR,EUR/month,24,True,santander_api_live,2026-03-09T12:05:49.528116+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8K4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,512,MG8K4QL_A,financing_max_term,89.25,89.25 EUR,EUR/month,18,True,santander_api_live,2026-03-09T12:05:49.528116+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8K4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,512,MG8K4QL_A,financing_max_term,130.75,130.75 EUR,EUR/month,12,True,santander_api_live,2026-03-09T12:05:49.528116+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8K4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,512,MG8K4QL_A,financing_max_term,261.5,261.50 EUR,EUR/month,6,True,santander_api_live,2026-03-09T12:05:49.528116+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8K4QL_A,iPhone 17 Pro,,
