country,retailer,retailer_slug,product_family,brand,device_type,model,capacity_gb,product_code,offer_type,price_value,price_text,price_unit,term_months,in_stock,data_quality_tier,price_capture_kind,extracted_at,source_url,source_title,source_snapshot,source_snapshots
ES,Media Markt,media_markt,Apple,Apple,tablet,Apple iPad Mini WiFi,256,MXNA3TY_A,financing_max_term,58.87,58.87 EUR,EUR/month,12,True,mediamarkt_adapter_live,visible_dom,2026-03-25T15:54:57.913937+00:00,https://www.mediamarkt.es/es/product/_apple-ipad-mini-2024-7agen-256-gb-gris-espacial-wifi-83chip-a17-pro-ipados-1584684.html,Apple iPad Mini WiFi,,
ES,Media Markt,media_markt,Apple,Apple,tablet,Apple iPad Mini WiFi,256,MXNA3TY_A,financing_max_term,51.23,51.23 EUR,EUR/month,14,True,mediamarkt_adapter_live,visible_dom,2026-03-25T15:54:57.913937+00:00,https://www.mediamarkt.es/es/product/_apple-ipad-mini-2024-7agen-256-gb-gris-espacial-wifi-83chip-a17-pro-ipados-1584684.html,Apple iPad Mini WiFi,,
ES,Media Markt,media_markt,Apple,Apple,tablet,Apple iPad Mini WiFi,256,MXNA3TY_A,financing_max_term,41.06,41.06 EUR,EUR/month,18,True,mediamarkt_adapter_live,visible_dom,2026-03-25T15:54:57.913937+00:00,https://www.mediamarkt.es/es/product/_apple-ipad-mini-2024-7agen-256-gb-gris-espacial-wifi-83chip-a17-pro-ipados-1584684.html,Apple iPad Mini WiFi,,
ES,Media Markt,media_markt,Apple,Apple,tablet,Apple iPad Mini WiFi,256,MXNA3TY_A,financing_max_term,37.51,37.51 EUR,EUR/month,20,True,mediamarkt_adapter_live,visible_dom,2026-03-25T15:54:57.913937+00:00,https://www.mediamarkt.es/es/product/_apple-ipad-mini-2024-7agen-256-gb-gris-espacial-wifi-83chip-a17-pro-ipados-1584684.html,Apple iPad Mini WiFi,,
ES,Media Markt,media_markt,Apple,Apple,tablet,Apple iPad Mini WiFi,256,MXNA3TY_A,financing_max_term,32.2,32.20 EUR,EUR/month,24,True,mediamarkt_adapter_live,visible_dom,2026-03-25T15:54:57.913937+00:00,https://www.mediamarkt.es/es/product/_apple-ipad-mini-2024-7agen-256-gb-gris-espacial-wifi-83chip-a17-pro-ipados-1584684.html,Apple iPad Mini WiFi,,
ES,Media Markt,media_markt,Apple,Apple,tablet,Apple iPad Mini WiFi,256,MXNA3TY_A,financing_max_term,26.91,26.91 EUR,EUR/month,30,True,mediamarkt_adapter_live,visible_dom,2026-03-25T15:54:57.913937+00:00,https://www.mediamarkt.es/es/product/_apple-ipad-mini-2024-7agen-256-gb-gris-espacial-wifi-83chip-a17-pro-ipados-1584684.html,Apple iPad Mini WiFi,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 5G,256,SM-S942BZKGEUB,cash,999.0,999.00 EUR,EUR,,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:04.545795+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-negro-256-gb-12-gb-ram-63-fhd-exynos-2600-4300-mah-android-16-1620261.html,"Móvil - Samsung Galaxy S26, Negro, 256 GB, 12 GB RAM , 6.3"" FHD+, Exynos 2600, 4300 mAh, Android 16",,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 5G,256,SM-S942BZKGEUB,financing_max_term,343.57,343.57 EUR,EUR/month,3,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:05.882453+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-negro-256-gb-12-gb-ram-63-fhd-exynos-2600-4300-mah-android-16-1620261.html,Samsung Galaxy S26 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 5G,256,SM-S942BZKGEUB,financing_max_term,175.82,175.82 EUR,EUR/month,6,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:05.882453+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-negro-256-gb-12-gb-ram-63-fhd-exynos-2600-4300-mah-android-16-1620261.html,Samsung Galaxy S26 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 5G,256,SM-S942BZKGEUB,financing_max_term,108.78,108.78 EUR,EUR/month,10,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:05.882453+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-negro-256-gb-12-gb-ram-63-fhd-exynos-2600-4300-mah-android-16-1620261.html,Samsung Galaxy S26 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 5G,256,SM-S942BZKGEUB,financing_max_term,92.04,92.04 EUR,EUR/month,12,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:05.882453+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-negro-256-gb-12-gb-ram-63-fhd-exynos-2600-4300-mah-android-16-1620261.html,Samsung Galaxy S26 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 5G,256,SM-S942BZKGEUB,financing_max_term,80.1,80.10 EUR,EUR/month,14,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:05.882453+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-negro-256-gb-12-gb-ram-63-fhd-exynos-2600-4300-mah-android-16-1620261.html,Samsung Galaxy S26 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 5G,256,SM-S942BZKGEUB,financing_max_term,64.2,64.20 EUR,EUR/month,18,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:05.882453+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-negro-256-gb-12-gb-ram-63-fhd-exynos-2600-4300-mah-android-16-1620261.html,Samsung Galaxy S26 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 5G,256,SM-S942BZKGEUB,financing_max_term,58.64,58.64 EUR,EUR/month,20,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:05.882453+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-negro-256-gb-12-gb-ram-63-fhd-exynos-2600-4300-mah-android-16-1620261.html,Samsung Galaxy S26 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 5G,256,SM-S942BZKGEUB,financing_max_term,50.33,50.33 EUR,EUR/month,24,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:05.882453+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-negro-256-gb-12-gb-ram-63-fhd-exynos-2600-4300-mah-android-16-1620261.html,Samsung Galaxy S26 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26 5G,256,SM-S942BZKGEUB,financing_max_term,42.07,42.07 EUR,EUR/month,30,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:05.882453+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-negro-256-gb-12-gb-ram-63-fhd-exynos-2600-4300-mah-android-16-1620261.html,Samsung Galaxy S26 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26+ 5G,256,SM-S947BZKDEUB,cash,1249.0,1249.00 EUR,EUR,,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:04.357479+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-plus-negro-256-gb-12-gb-ram-67-qhd-exynos-2600-4900-mah-android-16-1620269.html,"Móvil - Samsung Galaxy S26+, Negro, 256 GB, 12 GB RAM , 6.7"" QHD+, Exynos 2600, 4900 mAh, Android 16",,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26+ 5G,256,SM-S947BZKDEUB,financing_max_term,429.55,429.55 EUR,EUR/month,3,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:07.309155+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-plus-negro-256-gb-12-gb-ram-67-qhd-exynos-2600-4900-mah-android-16-1620269.html,Samsung Galaxy S26+ 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26+ 5G,256,SM-S947BZKDEUB,financing_max_term,219.82,219.82 EUR,EUR/month,6,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:07.309155+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-plus-negro-256-gb-12-gb-ram-67-qhd-exynos-2600-4900-mah-android-16-1620269.html,Samsung Galaxy S26+ 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26+ 5G,256,SM-S947BZKDEUB,financing_max_term,136.0,136.00 EUR,EUR/month,10,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:07.309155+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-plus-negro-256-gb-12-gb-ram-67-qhd-exynos-2600-4900-mah-android-16-1620269.html,Samsung Galaxy S26+ 5G,,
ES,Media Markt,media_markt,Samsung,Samsung,mobile,Samsung Galaxy S26+ 5G,256,SM-S947BZKDEUB,financing_max_term,115.07,115.07 EUR,EUR/month,12,True,mediamarkt_adapter_live,visible_dom,2026-04-09T09:23:07.309155+00:00,https://www.mediamarkt.es/es/product/_movil-samsung-galaxy-s26-plus-negro-256-gb-12-gb-ram-67-qhd-exynos-2600-4900-mah-android-16-1620269.html,Samsung Galaxy S26+ 5G,,
